#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A1878C
#Date Time: 2024-04-19 11:08:33.339
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 60.9044 V
#Offset: -0.000867193 V
#Relative: no
#Channel: Channel 2
#Range: 60.2863 V
#Offset: 0.00111132 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-1.698401137001453,-0.3816146507723259,-0.8379429925111026
104.2300949424216,-1.6925514965592,-0.3630730881503879,-1.009016135134146
108.6391269170621,-1.674469299788666,-0.3744004077963315,-0.9487102711185287
113.2346651302716,-1.652164700052533,-0.3602700094541816,-1.125748226943529
118.0245989730151,-1.622691664206726,-0.3754717070622231,-1.1348701237143
123.0171515649861,-1.635587977322445,-0.3504568472268391,-1.209733742616891
128.2208938716475,-1.621275911972023,-0.3621726112497476,-0.9870341135322889
133.6447594184397,-1.605002604285583,-0.3864428116543318,-1.352646947646591
139.2980596274105,-1.597054447955815,-0.3804532481700539,-1.389081634262851
145.1904998026008,-1.605948009317469,-0.3502741925485447,-1.45509266263943
151.3321957916271,-1.577199621024028,-0.339663624961695,-1.384099600073142
157.7336913520643,-1.561885634229273,-0.3703805918304318,-1.621648528423737
164.4059762524425,-1.540798035376308,-0.3767315440731009,-1.848634561427986
171.360505138936,-1.561029528975504,-0.3444792479243713,-1.769327910268714
178.609217200126,-1.57105475560646,-0.3704374899790724,-1.850965007736136
186.1645566636072,-1.556469783533221,-0.3767069335389159,-1.981269197166213
194.0394941596158,-1.561114171777051,-0.3398566721271807,-2.143756614564616
202.247548988362,-1.553966885150499,-0.3416776987725013,-2.117335005493004
210.8028123292901,-1.531739713085912,-0.3583884465257474,-2.259269613044211
219.7199714321139,-1.518884908400203,-0.3475397853766059,-2.332581802879637
229.0143348311534,-1.504751002138003,-0.3519969580667459,-2.298183995020324
238.7018586262665,-1.505939576754843,-0.3719990264666628,-2.62661142977148
248.7991738754823,-1.49598056408093,-0.3416323985643598,-2.576621867127436
259.3236151463755,-1.504103960666945,-0.3343264900445419,-2.69691081317383
270.2932502751869,-1.515224135308614,-0.3181158872620488,-2.778626344877566
281.7269113847843,-1.505830605711137,-0.3236254876335315,-2.91861744768967
293.6442272147124,-1.496953801322225,-0.3104644978362214,-2.906533359791949
306.0656568188346,-1.506259564196026,-0.345799615231741,-3.252822157724623
319.0125246884172,-1.471964444899519,-0.3329837825522569,-3.495660302885724
332.5070573609534,-1.485868794943354,-0.3133858801325727,-3.374801967436611
346.5724215775736,-1.511182122057859,-0.284341004358189,-3.660746333196869
361.2327640545542,-1.484799360623362,-0.3160458884086081,-3.808576726113529
376.5132529371953,-1.482754457180596,-0.3090131981111672,-4.006751271507277
