#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2024-04-26 11:39:13.836
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 60.4725 V
#Offset: -0.00262502 V
#Relative: no
#Channel: Channel 2
#Range: 59.9539 V
#Offset: -0.00191686 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-33.69095800911494,32.40957879835763,-82.88186253461758
104.2300949424216,-32.92734408853688,31.66377474503527,-87.9037647313001
108.6391269170621,-32.34625980373552,31.09318065022848,-87.57289680483326
113.2346651302716,-32.07052641506168,30.8084996062352,-83.65933267380518
118.0245989730151,-32.16366698164721,30.88908600763663,-87.4588854528256
123.0171515649861,-31.17097592724937,29.90384268854561,-84.16609579230827
128.2208938716475,-31.55057526698295,30.28369193089361,-88.51090084560829
133.6447594184397,-31.28474128346944,30.04508389799546,-84.742449503483
139.2980596274105,-30.48888897030747,29.23058707325157,-89.31973026264667
145.1904998026008,-29.99401170139624,28.74133948062573,-88.63602966391493
151.3321957916271,-29.57289491592975,28.33615507734182,-88.12315517689018
157.7336913520643,-29.21115375614136,27.97372577542899,-87.78894177386856
164.4059762524425,-28.85557788479163,27.63524628391121,-85.56329539276993
171.360505138936,-28.62302644027953,27.39139232651641,-86.94791152019248
178.609217200126,-28.11559965586983,26.89531320676809,-88.94709206929851
186.1645566636072,-27.66069517181663,26.4278276571883,-89.22966800854954
194.0394941596158,-27.57426955206343,26.34831123923546,-89.40497799095385
202.247548988362,-26.96328103910924,25.74609881915572,-88.99968937850819
210.8028123292901,-26.92830081361832,25.71355567855462,-88.89555368189775
219.7199714321139,-26.6874782161356,25.47247499346689,-87.28043456087522
229.0143348311534,-26.16087569516841,24.92810210244558,-91.20702431513038
238.7018586262665,-25.74887429128055,24.5206187421238,-87.06489347352658
248.7991738754823,-25.58585539727435,24.35272204992108,-90.63924851113015
259.3236151463755,-25.34062355605272,24.11212803496225,-90.06073141258571
270.2932502751869,-24.64484103754505,23.41284224831231,-87.5968581532631
281.7269113847843,-24.28653914866444,23.05868367169628,-89.59781539935567
293.6442272147124,-24.01731175558029,22.78584482732869,-85.80171079479479
306.0656568188346,-23.48515288139985,22.26454660944005,-90.67389171205168
319.0125246884172,-23.19428491167336,21.99044622758073,-89.762095710883
332.5070573609534,-22.90877466890433,21.67801519322344,-86.69614475018199
346.5724215775736,-23.06391331016986,21.81599904309735,-87.21755291969032
361.2327640545542,-22.28428455146547,21.05131964459528,-89.992046605864
376.5132529371953,-22.09331334959904,20.85758801550543,-88.6795514975037
392.4401210072382,-21.76865261545012,20.52914964777468,-87.87897259662682
409.0407107179982,-21.2064772419263,19.93059408638318,-88.41089570845683
426.3435211345256,-20.97178605840212,19.72148354436188,-87.30750086175789
444.3782568593789,-20.60203359235203,19.36842948464431,-88.74303824127198
463.1758790280082,-20.03945674408561,18.78736070637371,-88.50375556659392
482.7686584612883,-19.81200482689116,18.55522610652034,-88.47452767956447
503.1902310664553,-19.18352870339089,17.90285439966618,-90.29608068480381
524.4756555815562,-19.0563460346921,17.7745294562681,-88.97817116209758
546.6614737625438,-18.7439443489887,17.45843703601968,-88.86967951960764
569.7857731163404,-18.46764726778812,17.18297459019832,-89.92384556407495
593.8882522875714,-18.18600627593348,16.90609944469465,-89.33479108603598
619.0102892112237,-17.80382664803806,16.50667135577393,-89.9647988836108
645.1950121482167,-17.42671424551598,16.12833876734154,-88.43065806648539
672.4873737258538,-17.29025712126257,15.98070226463453,-89.074322382332
700.9342281102546,-16.75120175521838,15.43891445995972,-88.17480878270847
730.584411443248,-16.50596899063973,15.16062177276671,-88.73539357507219
761.4888256818282,-16.39976183111046,15.06101103813533,-89.43775246496892
793.7005259841002,-15.7881408775945,14.41530234678982,-88.24164442984534
827.2748117917272,-15.4600991246098,14.10362032130545,-89.2552229842142
862.2693217652554,-15.14409520318929,13.76796841679786,-88.52611143709321
898.7441327352996,-14.80514325446319,13.44165829839841,-88.59481384451026
936.7618628394459,-14.68276074944736,13.29501264136381,-89.77864773581375
976.3877790219507,-14.31800325268281,12.89484988429641,-90.26834769130909
1017.68990908078,-13.91483843502755,12.49031935535182,-89.08429620732664
1060.73915845434,-13.59060718467702,12.15200467174635,-90.66097636445912
1105.609431948401,-13.32113295722719,11.89539942911358,-89.94831687140243
1152.377760612186,-13.02757015178366,11.58403180277589,-90.10100173902499
1201.124433981432,-12.56086976996981,11.06917528670536,-91.13027517203606
1251.93313791547,-12.38234587850161,10.89356143406738,-90.19144844695211
1304.891098264931,-12.1725706393634,10.66663854219715,-90.5875152508364
1360.089230616743,-11.56305123253546,10.07271114437728,-90.50215689226135
1417.622296373483,-11.31956821222112,9.784235097271385,-91.33751915999841
1477.589065435017,-10.87378365988788,9.338356284912084,-90.90428074134229
1540.092485761756,-10.76451124412172,9.23081987166114,-91.45395709147829
1605.239860110578,-10.55489293580288,9.012116183407988,-91.67353401726272
1673.14303024685,-10.09282895967172,8.525123529022796,-91.91044072950291
1743.918568948799,-9.837344878490752,8.264193451698338,-93.14386020619821
1817.687980133853,-9.467936734111145,7.846820392301978,-94.15560654751403
1894.577907450499,-9.253100592689439,7.640139106239645,-94.5878150829175
